Version,Release Date,URL
JDK 1.0,23-Jan-96,https://en.wikipedia.org/wiki/Java_version_history
JDK 1.1,18-Feb-97,https://en.wikipedia.org/wiki/Java_version_history
J2SE 1.2,04-Dec-98,https://en.wikipedia.org/wiki/Java_version_history
J2SE 1.3,08-May-00,https://en.wikipedia.org/wiki/Java_version_history
J2SE 1.4,13-Feb-02,https://en.wikipedia.org/wiki/Java_version_history
J2SE 5.0 (1.5),30-Sep-04,https://en.wikipedia.org/wiki/Java_version_history
Java SE 6 (1.6),11-Dec-06,https://en.wikipedia.org/wiki/Java_version_history
Java SE 7 (1.7),28-Jul-11,https://en.wikipedia.org/wiki/Java_version_history
Java SE 8 (1.8),18-Mar-14,https://en.wikipedia.org/wiki/Java_version_history
Java SE 9 (1.9),21-Sep-17,https://en.wikipedia.org/wiki/Java_version_history
Java SE 10 (1.10),20-Mar-18,https://en.wikipedia.org/wiki/Java_version_history
Java SE 11,25-Sep-18,https://en.wikipedia.org/wiki/Java_version_history
Java SE 12,19-Mar-19,https://en.wikipedia.org/wiki/Java_version_history
Java SE 13,17-Sep-19,https://en.wikipedia.org/wiki/Java_version_history
Java SE 14,17-Mar-20,https://en.wikipedia.org/wiki/Java_version_history
Java SE 15,16-Sep-20,https://en.wikipedia.org/wiki/Java_version_history
Java SE 16,16-Mar-21,https://en.wikipedia.org/wiki/Java_version_history
Java SE 17,14-Sep-21,https://en.wikipedia.org/wiki/Java_version_history
Java SE 18,22-Mar-22,https://en.wikipedia.org/wiki/Java_version_history
Java SE 19,20-Sep-22,https://en.wikipedia.org/wiki/Java_version_history
Java SE 20,21-Mar-23,https://en.wikipedia.org/wiki/Java_version_history
Java SE 21,19-Sep-23,https://en.wikipedia.org/wiki/Java_version_history
Java SE 22,19-Mar-24,https://en.wikipedia.org/wiki/Java_version_history
Java SE 23,17-Sep-24,https://en.wikipedia.org/wiki/Java_version_history
Java SE 24,18-Mar-25,https://en.wikipedia.org/wiki/Java_version_history
Java SE 25,16-Sep-25,https://en.wikipedia.org/wiki/Java_version_history
